metric,value,threshold,dataset,name,depth,sample,index,recon_steps,recon_min,recon_max,recon_wavelength,recon_resolution,dilation,resolver,min_size,iters
roc,0.030878859857482184,0.0063308311476892466,Low Concentration,60k,,,,,,,,,,,,
roc,0.03187898487310914,0.0063308311476892466,Low Concentration,60k,,,,,,,,,,,,
roc,0.03187898487310914,0.006421271592656236,Low Concentration,60k,,,,,,,,,,,,
roc,0.03300412551568946,0.006421271592656236,Low Concentration,60k,,,,,,,,,,,,
roc,0.03300412551568946,0.006511712037623225,Low Concentration,60k,,,,,,,,,,,,
roc,0.03362920365045631,0.006511712037623225,Low Concentration,60k,,,,,,,,,,,,
roc,0.03362920365045631,0.006602152482590214,Low Concentration,60k,,,,,,,,,,,,
roc,0.033754219277409674,0.006602152482590214,Low Concentration,60k,,,,,,,,,,,,
roc,0.033754219277409674,0.006692592927557204,Low Concentration,60k,,,,,,,,,,,,
roc,0.03487935991999,0.006692592927557204,Low Concentration,60k,,,,,,,,,,,,
roc,0.03487935991999,0.006783033372524193,Low Concentration,60k,,,,,,,,,,,,
roc,0.03500437554694337,0.006783033372524193,Low Concentration,60k,,,,,,,,,,,,
roc,0.03500437554694337,0.006873473817491182,Low Concentration,60k,,,,,,,,,,,,
roc,0.03512939117389674,0.006873473817491182,Low Concentration,60k,,,,,,,,,,,,
roc,0.03512939117389674,0.006963914262458171,Low Concentration,60k,,,,,,,,,,,,
roc,0.035254406800850104,0.006963914262458171,Low Concentration,60k,,,,,,,,,,,,
roc,0.035254406800850104,0.007054354707425161,Low Concentration,60k,,,,,,,,,,,,
roc,0.035879484935616955,0.007054354707425161,Low Concentration,60k,,,,,,,,,,,,
roc,0.035879484935616955,0.007235235597359139,Low Concentration,60k,,,,,,,,,,,,
roc,0.03800475059382423,0.007235235597359139,Low Concentration,60k,,,,,,,,,,,,
roc,0.03800475059382423,0.007325676042326128,Low Concentration,60k,,,,,,,,,,,,
roc,0.038629828728591074,0.007325676042326128,Low Concentration,60k,,,,,,,,,,,,
roc,0.038629828728591074,0.007506556932260107,Low Concentration,60k,,,,,,,,,,,,
roc,0.038754844355544445,0.007506556932260107,Low Concentration,60k,,,,,,,,,,,,
roc,0.038754844355544445,0.007596997377227096,Low Concentration,60k,,,,,,,,,,,,
roc,0.03900487560945118,0.007596997377227096,Low Concentration,60k,,,,,,,,,,,,
roc,0.03900487560945118,0.0076874378221940855,Low Concentration,60k,,,,,,,,,,,,
roc,0.040130016252031504,0.0076874378221940855,Low Concentration,60k,,,,,,,,,,,,
roc,0.040130016252031504,0.007777878267161075,Low Concentration,60k,,,,,,,,,,,,
roc,0.04113014126765846,0.007777878267161075,Low Concentration,60k,,,,,,,,,,,,
roc,0.04113014126765846,0.007868318712128064,Low Concentration,60k,,,,,,,,,,,,
roc,0.041380172521565194,0.007868318712128064,Low Concentration,60k,,,,,,,,,,,,
roc,0.041380172521565194,0.007958759157095053,Low Concentration,60k,,,,,,,,,,,,
roc,0.04250531316414552,0.007958759157095053,Low Concentration,60k,,,,,,,,,,,,
roc,0.04250531316414552,0.008049199602062043,Low Concentration,60k,,,,,,,,,,,,
roc,0.04263032879109889,0.008049199602062043,Low Concentration,60k,,,,,,,,,,,,
roc,0.04263032879109889,0.008139640047029032,Low Concentration,60k,,,,,,,,,,,,
roc,0.043380422552819105,0.008139640047029032,Low Concentration,60k,,,,,,,,,,,,
roc,0.043380422552819105,0.008230080491996021,Low Concentration,60k,,,,,,,,,,,,
roc,0.04413051631453932,0.008230080491996021,Low Concentration,60k,,,,,,,,,,,,
roc,0.04413051631453932,0.00832052093696301,Low Concentration,60k,,,,,,,,,,,,
roc,0.044380547568446053,0.00832052093696301,Low Concentration,60k,,,,,,,,,,,,
roc,0.044380547568446053,0.008501401826896989,Low Concentration,60k,,,,,,,,,,,,
roc,0.04538067258407301,0.008501401826896989,Low Concentration,60k,,,,,,,,,,,,
roc,0.04538067258407301,0.008591842271863978,Low Concentration,60k,,,,,,,,,,,,
roc,0.046005750718839854,0.008591842271863978,Low Concentration,60k,,,,,,,,,,,,
roc,0.046005750718839854,0.008682282716830967,Low Concentration,60k,,,,,,,,,,,,
roc,0.046255781972746594,0.008682282716830967,Low Concentration,60k,,,,,,,,,,,,
roc,0.046255781972746594,0.008772723161797957,Low Concentration,60k,,,,,,,,,,,,
roc,0.046505813226653335,0.008772723161797957,Low Concentration,60k,,,,,,,,,,,,
roc,0.046505813226653335,0.008863163606764946,Low Concentration,60k,,,,,,,,,,,,
roc,0.0466308288536067,0.008863163606764946,Low Concentration,60k,,,,,,,,,,,,
roc,0.0466308288536067,0.008953604051731935,Low Concentration,60k,,,,,,,,,,,,
roc,0.04713089136142018,0.008953604051731935,Low Concentration,60k,,,,,,,,,,,,
roc,0.04713089136142018,0.009044044496698924,Low Concentration,60k,,,,,,,,,,,,
roc,0.049006125765720714,0.009044044496698924,Low Concentration,60k,,,,,,,,,,,,
roc,0.049006125765720714,0.009134484941665914,Low Concentration,60k,,,,,,,,,,,,
roc,0.049381172646580825,0.009134484941665914,Low Concentration,60k,,,,,,,,,,,,
